duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id,director,country,cast,listed_in
56,7,TV Show,Long Shot,2019-11-30,2007.0,NR,"During a visit to the Bronx to help out at his uncle's store, a cheerful martial arts expert springs into action when a gang terrorizes the shop.",73816749,Tom O'Brien,Colombia,Jam Hsiao,Movies
31,14,Movie,The Week Of,2019-06-05,2010.0,TV-PG,An international team of rescue workers race to save 12 young soccer players and their coach trapped in a flooded cave in Thailand.,8055846,Nzingha Stewart,United Kingdom,Nick Wolfhard,International Movies
38,6,Movie,I Am not an Easy Man,2017-03-24,1973.0,PG-13,"Twenty years after 5-year-old Jesse disappears near his home, his DNA turns up at the scene of a woman's murder, baffling his family and the police.",38772842,Amanda Micheli,Iraq,Tarık Ünlüoğlu,TV Sci-Fi & Fantasy
130,10,Movie,Hyperdrive,2017-02-26,1981.0,NC-17,"As their big day arrives, a couple's lavish wedding plans turn into a nightmare of exes, fighting parents and uninvited guests.",43209988,Prabhuraj,Italy,Jason Momoa,Docuseries
38,5,TV Show,Toast of London,2013-10-14,1999.0,TV-Y,"After taking a break from the business, a music producer returns with a new project in mind: launching a co-ed pop idol group.",79252558,Takuya Igarashi,Romania,Abhay Mahajan,Cult Movies
165,13,TV Show,Love In A Puff,2018-01-18,1994.0,R,Frisbee national champion Brodie Smith challenges inventive athletes across the US to an exhibition match in the unconventional sports they've created.,3019817,Niyi Akinmolayan,Taiwan,Trevante Rhodes,TV Action & Adventure
46,7,Movie,The Last O.G.,2019-01-07,2012.0,TV-Y7,"In the harshest weather, rookie and veteran heavy recovery operators fight to keep southern Ontario's busy, treacherous highways clear and safe.",79864537,John Duigan,Iraq,Erin Mathews,International TV Shows
26,6,Movie,Rugrats in Paris: The Movie,2015-12-28,1967.0,TV-G,Follow the reporters at BuzzFeed as they probe topics ranging from quirky internet crazes to safe injection spaces for opioid users.,76617437,Archie Borders,Turkey,Jang Dong-gun,Stand-Up Comedy
201,5,TV Show,Thaandavam,2018-05-25,1943.0,TV-Y,"When a storm terrorizes his patch, a pumpkin cast out for his shape must step up to use his smarts to save the day – and to prove himself.",79892429,Christian Charles,Lebanon,Marcia Gay Harden,TV Horror
105,12,Movie,Malena Pichot: Estupidez compleja,2017-08-08,2007.0,TV-PG,"A young man in foster care finds his voice in the underground rap battle scene. But when his mother returns, a lifetime of pain comes with her.",55704206,KVR Mahendra,Netherlands,Berg Lee,Dramas
185,11,Movie,Judy Moody and the Not Bummer Summer,2018-06-19,1954.0,PG-13,"Years after surviving a brutal crime as a child, Libby Day comes to believe that the brother she testified against for committing it may be innocent.",67051334,Joyce Bernal,Mongolia,Smita Jaykar,TV Comedies
95,3,TV Show,Solo: A Star Wars Story,2019-01-26,2004.0,G,Follow the quirky agents of the NCIS – the Naval Criminal Investigative Service – as they track down terrorists and other high-profile criminals.,36233309,Laurent Cantet,Hong Kong,Arashi,Sci-Fi & Fantasy
19,13,Movie,Mr. Pig,2018-12-09,1959.0,TV-Y7-FV,"Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",42640599,Dar Gai,Denmark,Umang Jain,Horror Movies
177,9,Movie,The Untamed,2015-06-23,2012.0,TV-G,"During a wilderness getaway, a gang of sociopathic criminals kidnap a woman and assault her husband, who must summon all his strength to save her.",74214264,Jakob Lass,Slovenia,Riccardo Scamarcio,Classic Movies
28,5,TV Show,John & Yoko: Above Us Only Sky,2019-01-21,1989.0,TV-PG,An all-star cast brings to life the short stories of author Robert Boswell in this anthology series of vignettes set in modern-day America.,2519249,Robbie Countryman,Ghana,Tatsuhisa Suzuki,Kids' TV
312,6,Movie,Being Mary Jane: The Series,2019-08-03,1965.0,TV-Y7,"Finding a letter mailed to Santa by a girl asking for a new wife for her daddy, twentysomething Crystal sets out to make the girl's wishes come true.",30907045,Manop Janjarasskul,Japan,Hanna Aqiela,TV Action & Adventure
68,4,TV Show,A Little Help with Carol Burnett,2012-10-24,1996.0,TV-MA,"To her Indian parents' dismay, London-born Jasmeet ""Jazz"" Malhotra longs for everything Western, including her British boyfriend. On a family trip to India, her father arranges Jazz's nuptials to Arjun Ballu Singh, who's smitten with his new bride.",50289311,David McCracken,Iceland,Bharat Jadhav,Horror Movies
146,14,TV Show,Your lie in April,2016-08-25,1992.0,TV-Y7-FV,"Witness the birth of the Mexican drug war in the 1980s as a gritty new ""Narcos"" saga chronicles the true story of the Guadalajara cartel's ascent.",67063622,Ryan Moody,Luxembourg,Shahd El Yaseen,Comedies
106,6,TV Show,The Tigers of Scotland,2019-04-12,1964.0,R,"Young orphan Kuttappayi goes to live with his grandfather in the country, but his new life takes a hard turn when his grandfather's health fails.",22824459,Sofia Coppola,Brazil,Bruce Willis,International Movies
54,14,Movie,Typewriter,2017-05-15,1947.0,TV-G,"While visiting Ken and exploring a coral reef, Barbie and her sisters make an amazing discovery and meet a mysterious new friend.",74227519,Pawan Kumar,Georgia,Aracely Arámbula,TV Horror
137,15,Movie,One in a Billion,2017-11-12,1963.0,TV-Y7,"Manipulated into embezzling funds for her boyfriend and sentenced to prison, a naïve young woman must quickly learn to survive in a harsh new world.",8941728,Kenny Young,Morocco,Kathy Murphy,Dramas
185,14,TV Show,Surga Yang Tak Dirindukan,2017-01-12,1977.0,TV-MA,A girl discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isn't the cure-all she had hoped for.,79101971,Ari Sandel,Spain,Simone Baker,TV Sci-Fi & Fantasy
38,11,Movie,Anjelah Johnson: Not Fancy,2019-06-07,1954.0,TV-MA,"After the deities Bai Qian and Ye Hua meet and fall in love, their romance stands the test of three lifetimes — each an epic in its own right.",54896691,Frank Oz,Uruguay,Shabana Azmi,TV Shows
108,5,Movie,The Riot Club,2018-10-09,1960.0,TV-14,"Historical footage and interviews with soldiers showcase war stories, unique traditions and unifying principles of the Indian Army’s various regiments.",78876969,Adam Darke,Spain,Aaron Pedersen,Romantic Movies
87,15,TV Show,Superman Returns,2016-12-14,2012.0,PG-13,"At a 50-year-old house that served as a school, a brothel, and now a home, tales unfold of the residents who have lived there, longing for an escape.",1679106,Rakesh Mehta,Dominican Republic,Michael York,Sports Movies
44,10,TV Show,The Man Who Feels No Pain,2015-12-15,1947.0,TV-G,"This dramatization depicts the life – and loves – of Venezuelan Gen. Simón Bolívar, who helped liberate several Latin American countries from Spain.",57556293,Larry Latham,Malawi,Stephen Sondheim,Sci-Fi & Fantasy
148,14,TV Show,Operation Gold Rush,2019-01-01,1989.0,TV-Y7,"Benjie Nycum travels to Wyoming to visit his ex-lover, Michael Glatze, a former gay activist who now lives with his wife and works as a church pastor.",31002999,Joel Oliansky,Taiwan,Natsuki Hanae,Spanish-Language TV Shows
75,15,Movie,Age of Rebellion,2016-12-01,1943.0,TV-Y7-FV,"New in Hong Kong, martial arts instructor Ip Man perseveres and retaliates against his rivals' opposition to the Wing Chun fighting style he teaches.",34165913,John Irvin,Panama,Jon Bernthal,Classic Movies
53,5,Movie,Yaadein,2016-07-21,1964.0,TV-Y7-FV,A Viennese child who was kidnapped and held captive in a basement before escaping after eight years reveals her headline-making story of survival.,1653907,Zak Hilditch,Guatemala,Mandy Patinkin,Reality TV
193,7,TV Show,Safe,2018-12-20,2012.0,TV-MA,"Following life-changing traumas, two girls from different backgrounds fight to discover the identities of their biological parents.",64948632,Shawn Crahan,Iraq,Eric Edelstein,Children & Family Movies
150,1,TV Show,Dino Girl Gauko,2016-02-05,1945.0,G,"Argentine comedian Grego Rossello takes the stage in Buenos Aires to share his takes on modern stardom, airline dining, brotherly love and more.",36805177,Anu Menon,Ireland,Ryosuke Yusa,Sci-Fi & Fantasy
20,10,Movie,Natascha Kampusch: The Whole Story,2019-10-19,2012.0,R,"Fed up with the hypocrisy of the adults around them, three creative high school misfits revive an old debate club as a way to fight back.",7430428,Greg Young,Malta,Michael Stuhlbarg,Crime TV Shows
34,1,TV Show,Millennials,2019-02-15,1946.0,NC-17,An aspiring actor uses a magical book to transport himself inside the movies he had always dreamed of starring in – but not without consequences.,26638111,Manu Ashokan,West Germany,Katrina Kaif,TV Sci-Fi & Fantasy
121,15,TV Show,Hedgehogs,2017-12-30,1925.0,TV-G,"Loyalties are tested when five former special forces operatives reunite to steal a drug lord's fortune, unleashing a chain of unintended consequences.",48726131,Nora Twomey,Mongolia,Guilherme Fontes,Dramas
63,11,TV Show,Trailer Park Boys: Countdown to Liquor Day,2018-12-04,1980.0,PG-13,"While investigating a brutal string of deaths, a detective begins to suspect that mind control may have played a part in the murders.",1302427,Kelly Fremon Craig,China,Şükrü Özyıldız,Spanish-Language TV Shows
164,13,TV Show,Yunus Emre,2019-11-02,1962.0,UR,"During World War I, the bond between a young Englishman and his loyal horse, Joey, is tested when Joey is sold to the cavalry and sent to France.",1150528,Wilson Coneybeare,Taiwan,Tomasz Jachimek,British TV Shows
166,10,TV Show,Aagey Se Right,2017-12-30,1982.0,G,"Flanked by a full orchestra, Tim Minchin takes the Royal Albert Hall by storm with a wonderfully witty evening of satirical musical comedy.",30924401,Martin Rosete,Somalia,Ruby Zhan,Documentaries
161,12,Movie,Inmates,2017-05-05,2013.0,PG,"With her Harvard Law dreams on the line, a black sorority leader agrees to help a rhythmically challenged sisterhood win a step dance championship.",26322549,Abhijit Kokate,Romania,Satarupa Pyne,Movies
61,9,TV Show,Flaked,2019-09-01,1993.0,TV-G,A girl discovers a dog-training app that can get boys to obey her every command. But she soon learns that it isn't the cure-all she had hoped for.,8590459,Shadab Khan,New Zealand,Adrian Petriw,TV Shows
50,13,TV Show,Crossroads: One Two Jaga,2016-09-06,1976.0,TV-PG,"In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud.",59389344,Arthur Muhammad,Cayman Islands,Tiffany Tenille,Cult Movies
138,13,TV Show,Antidote,2016-03-25,1944.0,UR,"Tired of her passionless marriage, Marianne wants a separation from her husband, Gustav, who, in response, decides to make a big change of his own.",12289130,Russell Crowe,Cambodia,Lalita Panyopas,TV Sci-Fi & Fantasy
158,13,Movie,No Good Nick,2019-06-23,2018.0,TV-14,"The actress, comedian and YouTube sensation riffs on everything from nail salons and Gypsies to Mexican moms and super-sleuthing Liam Neeson.",56678994,Julian Jarrold,Sweden,Michael Che,Dramas
74,8,Movie,يوم الدين,2019-09-28,2017.0,R,"Spirited high school misfits with hearts of gold begin their journeys into adulthood as they navigate school, friendship, romance and heartbreak.",12705668,John Edginton,Nigeria,Cristine Prosperi,TV Comedies
128,9,Movie,American Crime Story: The People v. O.J. Simpson,2017-09-13,1998.0,UR,"Set in the jumbled landscape of Mumbai, this mystery drama centers on a police inspector who's trying to cope with the collapse of his marriage.",28145320,Hidetaka Inazuka,Switzerland,Vic Chao,Thrillers
68,13,Movie,Chef & My Fridge,2016-07-15,1971.0,TV-14,A wary CIA officer investigates a charismatic man who sparks a spiritual movement and stirs political unrest. A fictional story not based on true events.,79181043,Michael Roberts,Indonesia,Thomas Mann,TV Action & Adventure
28,9,Movie,Best.Worst.Weekend.Ever.,2017-03-07,2017.0,TV-G,"While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.",73649719,David Guy Levy,China,Ahmed Dash,Sci-Fi & Fantasy
228,8,Movie,Vai Anitta,2019-12-27,1996.0,NR,"A couple and their young daughter are haunted by a paranormal, malicious presence – which is soon linked to a temple and a series of abortions.",50269986,Alex Winter,Portugal,Walter Huston,TV Shows
169,10,TV Show,Kyaa Kool Hai Hum,2019-09-01,2019.0,TV-Y,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.,30701919,Ivona Juka,Malawi,Taapsee Pannu,Reality TV
196,8,Movie,Dharam Sankat Mein,2019-02-25,2008.0,TV-Y,"Inspired by the classic novel, this telenovela follows Heidi, who leaves her happy life in the mountains behind when her aunt takes her to the big city.",1458125,Tim Skousen,Lebanon,Riley Murdock,Kids' TV
205,10,Movie,Mohawk,2017-07-12,1986.0,TV-Y7,"Using previously unseen footage, this documentary series offers new insights into some of the biggest scams and forgeries in human history.",69266279,Felix van Groeningen,Japan,Kygo,Spanish-Language TV Shows
96,1,Movie,Story of an Egg,2016-12-13,2010.0,NC-17,"A Cleveland grandfather is brought to trial in Israel, accused of being the infamous Nazi death camp guard known as Ivan the Terrible.",29764996,Saurabh Sinha,Thailand,Leonard Nimoy,Anime Features
168,4,TV Show,Jindua,2016-12-16,2004.0,NC-17,A remote village situated neither in India or Pakistan becomes its own republic after inmates at the local mental asylum bust loose and take over.,27407546,Bruce Robinson,Somalia,Siddharth Koirala,Romantic TV Shows
25,15,TV Show,The Rise of Phoenixes,2018-11-02,1969.0,TV-Y,"In a village by the Lebanon-Syria border, the head of an arms-smuggling clan contends with family conflicts, power struggles and complicated love.",46243050,Graham Townsley,"Poland,",Paul Rudd,TV Comedies
177,8,TV Show,Billy on the Street,2017-01-14,1968.0,G,"A modest, compassionate priest doubles as an effective crime solver in this series based on the short stories by G.K. Chesterton.",35805077,Johannes Roberts,Argentina,Kit Williamson,Action & Adventure
35,14,Movie,Wish Man,2017-11-28,1979.0,TV-Y,"Pulled into a shady briefcase swap for different reasons, young strangers Danny and Ellie spend an eventful night together when the deal goes wrong.",42290336,Lotje Sodderland,China,Donnie Yen,Documentaries
29,7,TV Show,Wadi,2018-03-21,1947.0,PG,"A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team.",4672944,Shrihari Sathe,Australia,Ayça Erturan,Dramas
94,1,Movie,The Who Was? Show,2017-05-23,1991.0,UR,"As four Russian friends grow up in the early '60s, life, love and the curse of success threaten to derail their dreams.",33632741,Sarah Holt,Mongolia,David Cross,Reality TV
32,7,TV Show,How to Sell Drugs Online (Fast),2019-08-07,2009.0,TV-14,"Miniforce, a special task force of elite rangers, takes on the Lizard Army to save Earth before it’s too late, in this prequel to the TV series.",31765760,Mark A.Z. Dippé,Chile,Vincent Zhao,Dramas
76,13,TV Show,The Curse of Oak Island,2019-08-01,2010.0,NC-17,"Assigned to go undercover to take down an impenetrable crime ring, a detective finds himself falling under the sway of its enigmatic leader.",21676385,Jake Paltrow,Pakistan,Jag Huang,Anime Series
123,5,Movie,World's Busiest Cities,2017-03-16,1956.0,TV-Y,"Revived by an experimental procedure, a hit man gets to live an extra 24 hours – which he uses to avenge his dead wife and child and redeem himself.",59465479,John Maclean,France,Asher Keddie,Sports Movies
129,8,Movie,Cristina,2014-09-26,1997.0,TV-PG,"Fresh Army recruit Amy Cole is assigned to Guantanamo Bay's Camp X-Ray, where she forms a surprising bond with one of the prisoners in her charge.",55888379,Moto Sakakibara,Senegal,Hunter March,Sci-Fi & Fantasy
167,2,TV Show,Helios,2018-02-26,1984.0,NR,"Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade.",76084798,Matthew Atkinson,Iraq,Anthony LaPaglia,Documentaries
94,12,Movie,The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,2017-10-30,1972.0,NC-17,An international group of filmmakers sets out on a mission to get up close and personal with a family of elusive snow leopards.,24708112,Priyadarshan,Malaysia,Burt Reynolds,Action & Adventure
14,4,Movie,"Pizza, birra, faso",2017-12-21,1969.0,TV-Y,"Minibus driver Riza is a steady presence in his close-knit neighborhood, until he brings home a dreamy beauty and throws everything into chaos.",48254772,Benjamin Arfmann,Latvia,Francisca Lozano,Kids' TV
187,13,TV Show,Neruda,2019-05-13,1959.0,R,"In this spritely tale, Tinker Bell and her friends set out to find free-spirited fairy Zarina after she makes off with some precious Blue Pixie Dust.",12018601,Ana Kokkinos,Latvia,Anuradha Patel,TV Sci-Fi & Fantasy
70,8,Movie,Transformers: Rescue Bots,2019-07-18,1979.0,UR,"In a world where no one fibs, a screenwriter gains fame and fortune – and maybe the girl of his dreams – by saying things that aren't true.",73983273,Ah Loong,Guatemala,Lina Larissa Strahl,Cult Movies
125,14,Movie,Angry Indian Goddesses,2018-02-04,2020.0,G,Two rookie Boston cops are sent deep undercover – one inside the gang of a charismatic Irish mob boss and the other double-crossing his own department.,59562145,Doesjka van Hoogdalem,Spain,Alexis Viera,Children & Family Movies
115,12,TV Show,Dumb and Dumberer: When Harry Met Lloyd,2018-03-15,1993.0,TV-G,"As the new kid, a shy high school senior finds himself tormented by all his peers except one. But his new friend has a dark, infectious outlook.",17910592,Sarjun,"United States,",Logic,Reality TV
44,14,TV Show,Amar Akbar & Tony,2017-06-19,1969.0,UR,A once-promising wrestler pursues the gold medal he never won by training two of his daughters to compete at the Commonwealth Games.,59744827,Matt Toronto,Cyprus,Cansu Kurgun,TV Shows
